ID,MKKCode,MKKParentCode,MKKTanim,MKKSeviye
1053,MA10140000,MA,Makine ve Ekipmanlar (Kira ve satınalma bedelleri),1
1054,MA10140100,MA10140000,Ağır İnşaat Makineleri (Hareketli araçlar),2
1055,MA10140200,MA10140000,İnşaat Makine ve Ekipmanları,2
1056,MA10140300,MA10140000,Ufak El Aletleri,2
1057,MA10140400,MA10140000,Tesisler (Beton santrali vb.),2
1058,MA10150000,MA,İşçilikler ve Nakliyeler,1
1059,MA10150100,MA10150000,Dummy İşçilikler ve Nakliyeler,2
1060,MA10150200,MA10150000,Adam Saat Maliyetleri,2
1061,MA10150300,MA10150000,Navlun ücretleri,2
1062,MA10160000,MA,Sarf Malzemeler,1
1063,MA10160100,MA10160000,Kaynak çubukları ve Kesici Taçlar,2
1064,MA10160200,MA10160000,"Kalıp, Demir ve Beton İşleri Sarf Malzemeleri",2
1065,MA10160300,MA10160000,Diğer Sarf Malzemeler,2
1066,MA10031100,MA10030000,"Fibrebeton, Betopan, vb.",2
1067,MA10051100,MA10050000,Cam Yünü ve Taş Yünü,2
1068,MA10051200,MA10050000,Geotextiller,2
1069,MA10070400,MA10070000,Cam Mozaik,2
1070,MA10051300,MA10050000,Duvar Kağıtları,2
1071,MA10120900,MA10120000,Corrugated Borular ve Fittingleri,2
1072,MA10121000,MA10120000,Drenaj Boruları ve Fittingleri,2
1081,MA10010600,MA10010000,Temel Harç Hammaddeleri,2
1082,MA10121100,MA10120000,PPRC Borular ve Fittingleri,2
1083,MA10140500,MA10140000,Taşıtlar,2
1084,MA10051400,MA10050000,Sentetik Kaplamalar,2
1085,P20000000,MKK,MKK Kodu Atanmamış Pozlar,1
9029,HK,Root,Hizmet Kırılımı,0
9030,H1000000,HK,Kırım Yıkım Demontaj İşleri,1
9031,H2000000,HK,Toprak ve Zemin Güçlendirme İşleri,1
9032,H2010000,H2000000,Kazı İşleri,2
9033,H2020000,H2000000,Dolgu ve Sıkıştırma İşleri,2
9034,H2020100,H2020000,Toprak Dolgu Yapılması,3
9035,H2020200,H2020000,Granüler Dolgu Yapılması ve Granüler Malzeme Serilmesi İşleri,3
9036,H2020300,H2020000,Harçlı Dolgu Yapılması,3
9037,H2020400,H2020000,Diğer Dolgu İşleri,3
9038,H2030000,H2000000,Zemin Güçlendirme İşleri,2
9039,H2030100,H2030000,Jetgrout Yapılması,3
9040,H2030200,H2030000,Fore Kazık Yapılması,3
9041,H2030300,H2030000,Çakma Kazık Yapılması,3
9042,H2040000,H2000000,Diğer Toprak ve Zemin Güçlendirme İşleri,2
9043,H3000000,HK,Kaba inşaat İşleri,1
9044,H3010000,H3000000,Grobeton İşleri,2
9045,H3020000,H3000000,Taşıyıcı Betonarme İşleri,2
9046,H3020100,H3020000,Kalıp Yapılması,3
9047,H3020200,H3020000,Betonarme Demiri İşlenmesi,3
9048,H3020300,H3020000,Betonarme Betonu Dökülmesi,3
9049,H3020400,H3020000,Prekast Elemanların Montajı,3
9050,H3030000,H3000000,Çelik ve Metal Konstriksüyonlar,2
9051,H3030100,H3030000,Uzaykafes Sistemi İşleri,3
9052,H3030200,H3030000,Yapıda Taşıyıcı Çelik Konstrüksiyon İşleri,3
9053,H3030300,H3030000,Çatıda Taşıyıcı Çelik İşleri,3
9054,H3030400,H3030000,Cephede Taşıyıcı Çelik İşleri,3
9055,H3040000,H3000000,Prefabrik Bina İmalatları,2
9056,H3050000,H3000000,"Deprem İzolatörü, Kayar Mesnet, Elastomer Mesnet vb Yardımcı Taşıcı Elemanların Montajı",2
9057,H4000000,HK,İnce İnşaat İşleri,1
9058,H4010000,H4000000,Duvar İşleri,2
9059,H4010100,H4010000,Tuğla Duvar Yapılması,3
9060,H4010200,H4010000,Briket Duvar Yapılması,3
9061,H4010300,H4010000,Bims Duvar Yapılması,3
9062,H4010400,H4010000,Gazbeton Duvar Yapılması,3
9063,H4010500,H4010000,Cam Tuğla Duvar Yapılması,3
9064,H4010600,H4010000,Alçıpan Bölme Duvar Yapılması,3
9065,H4010700,H4010000,Demontable Bölme Duvar Yapılması,3
9066,H4010800,H4010000,Cubicle Yapılması,3
9067,H4020000,H4000000,Zemin Kaplama İşleri,2
9068,H4020100,H4020000,Alt Kat Zemin Kaplama İşleri,3
9069,H4020101,H4020100,"Harçlı Zemin Kaplaması İşleri (Şap, Eğim Betonu, Koruma Betonu, vb)",4
9070,H4020102,H4020100,Zemin Su izolasyonu Yapılması İşleri,4
9071,H4020103,H4020100,Zemin Isı ve Ses İzolasyon Malzemesi Serilmesi İşleri,4
